BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Phi_U,Phi_V,Phi_B,SII,Baseline_Needed,Inverse_Diameter
,,,55.556,3.12,4.14,3.79,8500.0,8.627,-41.011,09h 11m 16.6s,-62° 19′ 02″,0.26,0.63,0.22,1.8792936902999758e-06,1.0896500215985766e-06,1.2311629606158805e-06,False,215.6356918350023,1.5873015873015872
,,-0.002,37.037,3.37,4.14,3.99,18000.0,15.549,31.359,18h 00m 38.7s,+02° 55′ 54″,0.28,0.28,0.23,1.4927760395444678e-06,1.0896500215985766e-06,1.0240367469637979e-06,False,485.1803066287552,3.571428571428571
δ¹ Gruis,,0.024,55.556,5.8,4.14,5.0,12000.0,23.673,44.334,22h 29m 16.2s,-43° 29′ 44″,1.31,0.4,1.33,1.5921891336435908e-07,1.0896500215985766e-06,4.039387724332844e-07,False,339.6262146401285,2.5
,,0.036,111.111,6.02,4.15,5.07,18000.0,6.483,20.212,23h 22m 58.2s,-20° 06′ 02″,1.59,0.27,1.64,1.300153578402063e-07,1.0796600501529605e-06,3.787176461577277e-07,False,503.1499476150053,3.7037037037037033
,,,62.5,4.0,4.15,3.97,9500.0,7.198,0.493,02h 03m 26.1s,+72° 25′ 17″,0.62,0.53,0.58,8.355927354647763e-07,1.0796600501529605e-06,1.0430750115082754e-06,False,256.3216714265121,1.8867924528301885
,,0.013,30.303,6.54,4.16,6.11,9750.0,8.628,5.704,02h 53m 52.9s,-49° 53′ 25″,76.61,0.51,30.1,8.053685303703013e-08,1.0697616673160776e-06,1.4531670482650107e-07,False,266.3735016785322,1.9607843137254901
,,,22.222,3.13,4.17,3.83,9250.0,17.439,-23.825,14h 41m 57.6s,-37° 47′ 37″,0.26,0.55,0.22,1.862064222184641e-06,1.0599540333985244e-06,1.1866305942524057e-06,False,247.000883374639,1.8181818181818181
γ Pyxidis,,0.033,22.222,6.68,4.18,5.28,10000.0,14.273,46.088,08h 50m 31.9s,-27° 42′ 36″,1.74,0.49,2.06,7.079370725424912e-08,1.0502363164091901e-06,3.121156470265911e-07,False,277.24588950214576,2.0408163265306123
,,0.014,200.0,4.68,4.2,4.41,20000.0,5.513,5.948,20h 29m 23.7s,+30° 22′ 07″,1.06,0.25,0.96,4.4667809535049297e-07,1.03106734331961e-06,6.955294784712974e-07,False,543.4019434242057,4.0
ω Piscium,,0.018,100.0,4.49,4.2,4.43,12000.0,16.568,42.437,23h 59m 18.7s,+06° 51′ 48″,1.08,0.39,0.9,5.32101711247165e-07,1.03106734331961e-06,6.828346347989601e-07,False,348.3345791180807,2.564102564102564
μ Eridani,,,41.667,3.27,4.21,3.87,30000.0,5.679,-0.057,04h 45m 30.1s,-03° 15′ 17″,0.29,0.2,0.25,1.6367963790854828e-06,1.021614461096785e-06,1.1437090070606329e-06,False,679.252429280257,5.0
ε Aquilae,,0.028,40.0,6.14,4.22,5.1,8250.0,4.423,22.294,18h 59m 37.4s,+15° 04′ 06″,1.7,0.64,1.79,1.1641117039044333e-07,1.0122482434191094e-06,3.683965388952762e-07,False,212.26638415008034,1.5625
,,0.021,83.333,6.15,4.22,5.11,10000.0,18.346,71.338,19h 01m 40.8s,-05° 44′ 20″,1.69,0.48,1.78,1.1534390636520596e-07,1.0122482434191094e-06,3.650190591253695e-07,False,283.0218455334405,2.0833333333333335
η Aquarii,,0.025,26.316,3.67,4.22,3.93,8250.0,20.493,62.994,22h 35m 21.4s,-00° 07′ 03″,0.47,0.64,0.42,1.1323864281393088e-06,1.0122482434191094e-06,1.0822199642695407e-06,False,212.26638415008034,1.5625
,,0.0,90.909,7.04,4.23,5.63,12000.0,21.29,39.395,18h 55m 20.1s,+43° 56′ 46″,25.24,0.38,18.19,5.08153189250362e-08,1.0029678957412405e-06,2.2610779840813497e-07,False,357.5012785685564,2.6315789473684212
ψ Centauri,,0.003,333.333,3.91,4.25,4.02,16000.0,1.158,47.242,14h 20m 33.4s,-37° 53′ 07″,0.58,0.29,0.52,9.078093587172121e-07,9.846616685590472e-07,9.961289026546278e-07,False,468.44995122776356,3.4482758620689657
,,0.014,27.778,6.93,4.25,5.4,8750.0,4.594,10.161,14h 43m 39.4s,-35° 10′ 25″,1.55,0.57,1.95,5.6233440512855546e-08,9.846616685590472e-07,2.794573531243224e-07,False,238.33418571237095,1.7543859649122808
ζ Andromedae,,0.037,41.667,6.08,4.25,5.18,8750.0,8.975,11.858,00h 47m 20.3s,+24° 16′ 02″,1.75,0.57,1.73,1.2302536313667538e-07,9.846616685590472e-07,3.4222800163977904e-07,False,238.33418571237095,1.7543859649122808
α Chamaeleontis,,0.053,41.667,4.44,4.26,4.46,9250.0,14.027,1.544,08h 18m 31.6s,-76° 55′ 11″,1.18,0.52,0.93,5.571788923136425e-07,9.756342361197153e-07,6.642254952994457e-07,False,261.25093433856046,1.923076923076923
,,0.051,50.0,5.46,4.26,4.94,12000.0,16.146,44.935,08h 44m 24.0s,-42° 38′ 57″,1.44,0.38,1.3,2.1776829738848167e-07,9.756342361197153e-07,4.2688956735776734e-07,False,357.5012785685564,2.6315789473684212
υ Boötis,,0.011,166.667,7.46,4.26,5.59,9500.0,17.69,-11.125,13h 49m 28.6s,+15° 47′ 52″,1.65,0.5,2.29,3.451394920648542e-08,9.756342361197153e-07,2.3459326588648988e-07,False,271.70097171210284,2.0
,,,41.667,3.53,4.27,4.09,8500.0,4.636,12.511,09h 34m 26.7s,-59° 13′ 46″,0.26,0.59,0.22,1.288233698747414e-06,9.66689567678472e-07,9.339326131297506e-07,False,230.2550607729686,1.6949152542372883
α Crateris,Alkes,0.031,17.857,6.17,4.27,5.17,8250.0,12.891,-39.821,10h 59m 46.5s,-18° 17′ 56″,1.48,0.62,1.57,1.1323864281393087e-07,9.66689567678472e-07,3.453945983512015e-07,False,219.1136868645991,1.6129032258064517
γ Crateris,,0.028,76.923,4.4,4.27,4.29,14000.0,15.309,-46.125,11h 24m 52.9s,-17° 41′ 02″,0.62,0.32,0.58,5.780889334694061e-07,9.66689567678472e-07,7.7681131225257e-07,False,424.5327683001607,3.125
μ Cephei,Garnet Star,0.003,33.333,8.85,4.28,6.43,12000.0,2.469,8.46,21h 43m 30.4s,+58° 46′ 48″,3.99,0.37,5.47,9.593888253203748e-09,9.57826904450406e-07,1.0822199642695406e-07,False,367.16347528662544,2.7027027027027026
δ Hydri,,0.05,27.778,4.17,4.28,4.12,8000.0,4.438,22.814,02h 21m 44.9s,-68° 39′ 34″,0.61,0.65,0.57,7.144875336241906e-07,9.57826904450406e-07,9.084803566167303e-07,False,209.00074747084838,1.5384615384615383
τ³ Eridani,,0.059,58.824,4.33,4.28,4.25,24000.0,4.704,22.957,03h 02m 23.5s,-23° 37′ 28″,0.6,0.21,0.56,6.165874141646083e-07,9.57826904450406e-07,8.059638101909238e-07,False,646.9070755050069,4.761904761904762
ι Eridani,,0.038,100.0,5.87,4.28,5.13,12000.0,11.882,-32.092,02h 40m 40.0s,-39° 51′ 20″,1.7,0.37,1.6,1.4927760395444677e-07,9.57826904450406e-07,3.583567104594223e-07,False,367.16347528662544,2.7027027027027026
,,0.011,52.632,5.59,4.29,5.01,9500.0,4.425,17.928,11h 46m 30.8s,-61° 10′ 42″,1.35,0.5,1.25,1.931944542594623e-07,9.490454946072122e-07,4.00235439507667e-07,False,271.70097171210284,2.0
ω Capricorni,,0.001,76.923,7.68,4.29,5.75,9500.0,21.757,61.121,20h 51m 49.3s,-26° 55′ 09″,4.03,0.5,4.84,2.8183482487981805e-08,9.490454946072122e-07,2.0244895591063375e-07,False,271.70097171210284,2.0
δ² Gruis,,-0.005,31.25,7.39,4.29,5.68,9250.0,22.063,64.628,22h 29m 45.5s,-43° 44′ 58″,14.81,0.52,13.09,3.681244435197537e-08,9.490454946072122e-07,2.1593127112139854e-07,False,261.25093433856046,1.923076923076923
μ Orionis,,0.028,47.619,4.39,4.29,4.28,10000.0,22.525,-31.654,06h 02m 23.0s,+09° 38′ 51″,0.52,0.46,0.51,5.834379245129923e-07,9.490454946072122e-07,7.839990588279252e-07,False,295.3271431653292,2.1739130434782608
γ Canis Majoris,Muliphein,,90.909,3.52,4.29,4.0,14000.0,23.636,43.268,07h 03m 45.5s,-15° 38′ 00″,0.4,0.32,0.33,1.300153578402063e-06,9.490454946072122e-07,1.0146483216357997e-06,False,424.5327683001607,3.125
ο Virginis,,0.039,47.619,5.73,4.3,5.1,9250.0,20.223,56.568,12h 05m 12.5s,+08° 43′ 59″,1.56,0.51,1.43,1.698222754209213e-07,9.403445932133873e-07,3.683965388952762e-07,False,266.3735016785322,1.9607843137254901
μ Persei,,0.017,62.5,5.73,4.32,5.09,9250.0,15.734,77.794,04h 14m 53.9s,+48° 24′ 34″,0.94,0.51,0.95,1.698222754209213e-07,9.231813701172014e-07,3.718052701007172e-07,False,266.3735016785322,1.9607843137254901
θ Coronae Borealis,,0.027,71.429,3.47,4.33,4.01,8250.0,1.185,55.15,15h 32m 55.8s,+31° 21′ 33″,0.3,0.6,0.25,1.3614279287953325e-06,9.147175924420011e-07,1.005345969908587e-06,False,226.4174764267524,1.6666666666666667
ψ Capricorni,,0.098,200.0,4.59,4.33,4.57,10000.0,2.034,2.764,20h 46m 05.7s,-25° 16′ 15″,1.03,0.46,0.84,4.852825282972438e-07,9.147175924420011e-07,6.002270192602784e-07,False,295.3271431653292,2.1739130434782608
κ Andromedae,,0.018,47.619,3.8,4.33,4.06,8750.0,12.05,-62.687,23h 40m 24.5s,+44° 20′ 02″,0.44,0.55,0.39,1.004603427673981e-06,9.147175924420011e-07,9.60097947649231e-07,False,247.000883374639,1.8181818181818181
η Crucis,,0.053,35.714,4.52,4.33,4.49,9500.0,17.347,-11.153,12h 06m 52.9s,-64° 36′ 49″,0.95,0.49,0.79,5.176004623826516e-07,9.147175924420011e-07,6.461235065144146e-07,False,277.24588950214576,2.0408163265306123
,,0.022,24.39,7.67,4.34,5.73,10000.0,21.749,-32.974,16h 36m 22.5s,-35° 15′ 20″,1.77,0.45,2.47,2.8444261040687188e-08,9.063314111469351e-07,2.0621276301111872e-07,False,301.8899685690032,2.2222222222222223
,,0.025,28.571,5.81,4.35,5.12,9750.0,2.971,-39.696,03h 49m 27.3s,-36° 12′ 01″,1.62,0.47,1.5,1.5775918559252047e-07,8.980221148241288e-07,3.616725442761199e-07,False,289.04358692776907,2.127659574468085
ε Piscis Austrini,,,37.037,3.69,4.35,4.06,8250.0,5.746,-64.264,22h 40m 39.4s,-27° 02′ 37″,0.37,0.6,0.32,1.111718046529516e-06,8.980221148241288e-07,9.60097947649231e-07,False,226.4174764267524,1.6666666666666667
,,0.031,52.632,7.14,4.35,5.69,8750.0,9.614,-48.645,13h 49m 26.7s,-34° 27′ 03″,16.62,0.55,13.03,4.6344121664960605e-08,8.980221148241288e-07,2.1395160132838214e-07,False,247.000883374639,1.8181818181818181
,,0.052,27.778,4.66,4.35,4.65,8250.0,18.143,-62.332,18h 45m 39.7s,+20° 32′ 47″,1.14,0.6,0.9,4.549824611564269e-07,8.980221148241288e-07,5.575907253299121e-07,False,226.4174764267524,1.6666666666666667
ε Cephei,,0.041,21.739,4.51,4.36,4.47,10000.0,0.723,-56.537,22h 15m 02.0s,+57° 02′ 37″,0.85,0.45,0.73,5.22389760494319e-07,8.897889985879051e-07,6.581358393549095e-07,False,301.8899685690032,2.2222222222222223
,,0.023,27.778,5.34,4.36,4.92,9750.0,4.844,8.9,07h 56m 51.5s,-22° 52′ 48″,0.89,0.46,0.85,2.4321740788494375e-07,8.897889985879051e-07,4.348260369607687e-07,False,295.3271431653292,2.1739130434782608
σ Herculis,,0.01,29.412,4.09,4.36,4.19,12000.0,5.221,-11.059,16h 34m 06.2s,+42° 26′ 13″,0.39,0.36,0.37,7.691209755186182e-07,8.897889985879051e-07,8.517566664023236e-07,False,377.362460711254,2.7777777777777777
,,,71.429,4.38,4.36,4.62,10000.0,8.807,5.838,03h 29m 04.1s,+59° 56′ 25″,0.34,0.45,0.3,5.8883640916133e-07,8.897889985879051e-07,5.73212353323312e-07,False,301.8899685690032,2.2222222222222223
β Leonis Minoris,,0.022,250.0,5.75,4.36,5.11,9750.0,17.537,86.586,10h 27m 53.0s,+36° 42′ 26″,1.67,0.46,1.51,1.667226695734631e-07,8.897889985879051e-07,3.650190591253695e-07,False,295.3271431653292,2.1739130434782608
ψ¹ Aquarii,,0.049,32.258,6.31,4.36,5.32,9000.0,18.746,37.605,23h 15m 53.5s,-09° 05′ 16″,1.39,0.52,1.46,9.953931680881483e-08,8.897889985879051e-07,3.0082611933140194e-07,False,261.25093433856046,1.923076923076923
κ¹ Tauri,,0.025,31.25,4.48,4.36,4.35,8750.0,18.784,18.181,04h 25m 22.1s,+22° 17′ 38″,0.68,0.54,0.63,5.370251877625412e-07,8.897889985879051e-07,7.35047731022713e-07,False,251.57497380750266,1.8518518518518516
β Scuti,,0.019,250.0,6.13,4.36,5.32,20000.0,19.612,-0.714,18h 47m 10.5s,-04° 44′ 52″,0.99,0.23,1.03,1.1748830968811899e-07,8.897889985879051e-07,3.0082611933140194e-07,False,590.6542863306584,4.3478260869565215
θ Cephei,,0.038,33.333,4.58,4.37,4.42,12000.0,0.526,-61.042,20h 29m 34.9s,+62° 59′ 39″,0.65,0.36,0.61,4.897727922465811e-07,8.816313640150394e-07,6.891528258839658e-07,False,377.362460711254,2.7777777777777777
ζ Tucanae,,0.134,200.0,4.83,4.37,4.81,24000.0,6.936,-16.946,00h 20m 04.3s,-64° 52′ 29″,1.31,0.21,1.01,3.890403574812109e-07,8.816313640150394e-07,4.81188834393539e-07,False,646.9070755050069,4.761904761904762
τ⁶ Eridani,,0.059,38.462,4.65,4.38,4.65,9750.0,13.166,-4.461,03h 46m 50.9s,-23° 14′ 59″,0.95,0.46,0.77,4.5919236203639824e-07,8.735485190854895e-07,5.575907253299121e-07,False,295.3271431653292,2.1739130434782608
,,0.051,34.483,4.61,4.38,4.61,14000.0,16.9,10.165,13h 45m 41.2s,-33° 02′ 38″,0.96,0.3,0.79,4.7642512393935364e-07,8.735485190854895e-07,5.785162219263579e-07,False,452.8349528535048,3.3333333333333335
ε Ursae Minoris,,0.01,333.333,5.67,4.39,5.12,9250.0,11.003,-41.774,16h 45m 58.1s,+82° 02′ 14″,1.3,0.49,1.19,1.7947115411933435e-07,8.655397781236697e-07,3.616725442761199e-07,False,277.24588950214576,2.0408163265306123
σ Cygni,,0.011,500.0,3.96,4.39,4.35,26000.0,19.229,39.146,21h 17m 25.0s,+39° 23′ 41″,0.41,0.2,0.34,8.669512070958127e-07,8.655397781236697e-07,7.35047731022713e-07,False,679.252429280257,5.0
π² Cygni,,-0.001,1000.0,3.4,4.39,4.11,12000.0,20.148,77.711,21h 46m 47.6s,+49° 18′ 34″,0.23,0.35,0.19,1.4520937481876525e-06,8.655397781236697e-07,9.168864218594059e-07,False,388.1442453030041,2.857142857142857
,,,23.256,3.1,4.39,4.1,8750.0,21.331,-52.55,07h 53m 18.2s,-48° 06′ 11″,0.23,0.54,0.17,1.914232368564008e-06,8.655397781236697e-07,9.253702674661326e-07,False,251.57497380750266,1.8518518518518516
β Canum Venaticorum,Chara,0.117,58.824,4.9,4.42,4.85,9750.0,11.039,20.18,12h 33m 44.5s,+41° 21′ 27″,1.38,0.45,1.06,3.647494583352442e-07,8.419514162383292e-07,4.6378376443227933e-07,False,301.8899685690032,2.2222222222222223
,,0.156,111.111,5.2,4.43,4.98,9500.0,14.686,13.728,03h 19m 55.7s,-43° 04′ 11″,1.99,0.47,1.51,2.766907595971572e-07,8.342323592566482e-07,4.1144855490169436e-07,False,289.04358692776907,2.127659574468085
λ Eridani,,-0.003,76.923,3.18,4.43,4.08,8250.0,20.724,15.074,05h 09m 08.8s,-08° 45′ 15″,0.24,0.58,0.19,1.7782575268821057e-06,8.342323592566482e-07,9.425741852023355e-07,False,234.22497561388178,1.7241379310344829
γ¹ Velorum,,,52.632,3.12,4.43,4.04,26000.0,21.299,34.897,08h 09m 29.3s,-47° 20′ 45″,0.24,0.19,0.18,1.8792936902999758e-06,8.342323592566482e-07,9.779475011639371e-07,False,715.0025571371128,5.2631578947368425
ι Aquarii,,,40.0,3.91,4.44,4.2,8750.0,6.396,4.593,22h 06m 26.2s,-13° 52′ 11″,0.42,0.52,0.37,9.078093587172121e-07,8.265840710147442e-07,8.43947714346792e-07,False,261.25093433856046,1.923076923076923
,,0.023,17.544,6.07,4.45,5.32,8250.0,8.309,-35.341,10h 39m 18.4s,-55° 36′ 12″,0.9,0.57,0.93,1.2416370280632113e-07,8.190059027009178e-07,3.0082611933140194e-07,False,238.33418571237095,1.7543859649122808
ι Capricorni,,0.033,35.714,5.76,4.45,5.18,8250.0,16.536,-20.534,21h 22m 14.8s,-16° 50′ 04″,1.43,0.57,1.3,1.6519414695118954e-07,8.190059027009178e-07,3.4222800163977904e-07,False,238.33418571237095,1.7543859649122808
θ Gruis,,0.017,47.619,4.86,4.45,4.7,9500.0,18.029,1.305,23h 06m 52.8s,-43° 31′ 14″,0.97,0.46,0.84,3.784379276770456e-07,8.190059027009178e-07,5.324950087243814e-07,False,295.3271431653292,2.1739130434782608
,,0.021,23.256,4.78,4.46,4.69,10000.0,22.875,-31.124,17h 27m 21.3s,-29° 52′ 01″,1.01,0.43,0.84,4.0737526466250297e-07,8.114972114518114e-07,5.374221243765084e-07,False,315.9313624559336,2.3255813953488373
π² Pegasi,,0.007,52.632,4.93,4.47,4.75,8250.0,11.278,-2.348,22h 09m 59.2s,+33° 10′ 42″,0.94,0.57,0.82,3.548090229697602e-07,8.040573602978532e-07,5.085287854252046e-07,False,238.33418571237095,1.7543859649122808
ι Andromedae,,0.011,28.571,3.9,4.48,4.19,9500.0,6.327,59.011,23h 38m 08.2s,+43° 16′ 05″,0.33,0.46,0.3,9.162092152927732e-07,7.966857181092643e-07,8.517566664023236e-07,False,295.3271431653292,2.1739130434782608
,Taygeta,,76.923,3.73,4.48,4.19,22000.0,6.469,-31.42,03h 45m 12.5s,+24° 28′ 02″,0.26,0.21,0.23,1.071506119331687e-06,7.966857181092643e-07,8.517566664023236e-07,False,646.9070755050069,4.761904761904762
υ Leonis,,0.019,20.0,6.05,4.48,5.3,8250.0,10.124,35.245,11h 36m 56.9s,-00° 49′ 26″,1.35,0.56,1.3,1.2647207838743026e-07,7.966857181092643e-07,3.0641889445270547e-07,False,242.5901533143776,1.7857142857142856
δ² Lyrae,,-0.001,19.608,7.63,4.48,5.98,9500.0,11.194,-21.174,18h 54m 30.2s,+36° 53′ 56″,13.26,0.46,11.4,2.951172909665831e-08,7.966857181092643e-07,1.6380062002023935e-07,False,295.3271431653292,2.1739130434782608
α Sculptoris,,,142.857,3.59,4.49,4.15,7500.0,4.439,15.618,00h 58m 36.4s,-29° 21′ 27″,0.32,0.66,0.27,1.2189745982785066e-06,7.893816595424975e-07,8.837217447548308e-07,False,205.83406947886579,1.5151515151515151
η Corvi,,0.052,20.833,4.7,4.49,4.69,7500.0,7.209,-45.241,12h 32m 04.2s,-16° 11′ 46″,0.87,0.66,0.72,4.385253013024318e-07,7.893816595424975e-07,5.374221243765084e-07,False,205.83406947886579,1.5151515151515151
μ¹ Boötis,Alkalurops,0.039,83.333,4.69,4.49,4.62,26000.0,7.877,-37.137,15h 24m 29.4s,+37° 22′ 38″,0.88,0.19,0.75,4.4258292595712463e-07,7.893816595424975e-07,5.73212353323312e-07,False,715.0025571371128,5.2631578947368425
,,0.008,66.667,7.74,4.49,5.93,10000.0,10.132,0.372,04h 40m 26.5s,-19° 40′ 18″,12.61,0.42,11.66,2.6668258466830387e-08,7.893816595424975e-07,1.7152030541163018e-07,False,323.45353775250345,2.380952380952381
γ Canis Minoris,,0.019,21.277,7.29,4.49,5.75,7500.0,14.953,-3.654,07h 28m 09.8s,+08° 55′ 32″,1.31,0.66,1.66,4.036404257867525e-08,7.893816595424975e-07,2.0244895591063375e-07,False,205.83406947886579,1.5151515151515151
δ Octantis,,,24.39,7.08,4.49,5.63,12000.0,23.712,-13.455,14h 26m 54.9s,-83° 40′ 04″,1.26,0.34,1.56,4.897727922465812e-08,7.893816595424975e-07,2.2610779840813497e-07,False,399.5602525177983,2.941176470588235
ο Lupi,,,142.857,3.56,4.5,4.17,10000.0,6.548,7.333,14h 51m 38.4s,-43° 34′ 32″,0.25,0.42,0.22,1.2531257540324769e-06,7.821445649871709e-07,8.675920051150886e-07,False,323.45353775250345,2.380952380952381
ζ Ursae Minoris,,0.016,100.0,4.41,4.5,4.36,18000.0,7.647,-25.198,15h 44m 03.5s,+77° 47′ 40″,0.54,0.23,0.51,5.727889822704803e-07,7.821445649871709e-07,7.283087729182483e-07,False,590.6542863306584,4.3478260869565215
ω² Scorpii,,0.021,40.0,5.66,4.5,5.16,9500.0,9.58,52.051,16h 07m 24.3s,-20° 52′ 07″,1.16,0.45,1.06,1.8113178026245216e-07,7.821445649871709e-07,3.485904952212484e-07,False,301.8899685690032,2.2222222222222223
,,0.01,125.0,5.96,4.5,5.27,24000.0,10.349,-55.957,20h 38m 20.3s,-01° 06′ 19″,1.31,0.19,1.24,1.3740250663220963e-07,7.821445649871709e-07,3.1500361755127725e-07,False,715.0025571371128,5.2631578947368425
θ Cassiopeiae,Marfark,0.014,66.667,4.62,4.5,4.5,9750.0,10.927,24.75,01h 11m 06.2s,+55° 08′ 59″,0.64,0.44,0.59,4.7205723214860994e-07,7.821445649871709e-07,6.401998106006103e-07,False,308.7511042182987,2.272727272727273
,,,33.333,3.42,4.5,4.22,9500.0,22.14,-31.011,08h 40m 37.0s,-59° 45′ 40″,0.2,0.45,0.17,1.42559005035541e-06,7.821445649871709e-07,8.285439325763821e-07,False,301.8899685690032,2.2222222222222223
θ¹ Crucis,,0.021,35.714,4.64,4.5,4.6,8250.0,23.701,1.78,12h 03m 01.5s,-63° 18′ 46″,0.55,0.56,0.5,4.634412166496061e-07,7.821445649871709e-07,5.838691666213582e-07,False,242.5901533143776,1.7857142857142856
ζ Monocerotis,,0.003,100.0,6.0,4.51,5.31,20000.0,15.39,-58.679,08h 08m 35.6s,-02° 59′ 02″,0.93,0.22,0.94,1.324325238108093e-07,7.749738205135501e-07,3.036096291424674e-07,False,617.5022084365974,4.545454545454546
υ² Centauri,,0.013,20.408,5.21,4.51,4.94,8250.0,20.734,-50.079,14h 01m 43.4s,-45° 36′ 13″,0.89,0.56,0.79,2.7415404346550983e-07,7.749738205135501e-07,4.2688956735776734e-07,False,242.5901533143776,1.7857142857142856
,,0.008,43.478,6.51,4.52,5.51,9500.0,0.305,36.785,21h 44m 30.7s,+17° 21′ 00″,0.89,0.45,1.0,8.279319752188363e-08,7.67868817820417e-07,2.5253149007862097e-07,False,301.8899685690032,2.2222222222222223
θ² Eridani,,0.035,43.478,4.55,4.52,4.43,8750.0,2.484,67.403,02h 58m 16.3s,-40° 18′ 16″,0.46,0.5,0.45,5.034944128083973e-07,7.67868817820417e-07,6.828346347989601e-07,False,271.70097171210284,2.0
δ Doradus,,0.027,58.824,4.68,4.52,4.56,9500.0,14.319,-12.629,05h 44m 46.4s,-65° 44′ 08″,0.62,0.45,0.58,4.4667809535049297e-07,7.67868817820417e-07,6.057808514896385e-07,False,301.8899685690032,2.2222222222222223
κ Aurigae,,0.018,90.909,6.17,4.52,5.37,9750.0,15.693,19.67,06h 15m 22.7s,+29° 29′ 53″,1.28,0.43,1.26,1.1323864281393087e-07,7.67868817820417e-07,2.8728671364308887e-07,False,315.9313624559336,2.3255813953488373
,,0.019,19.608,4.65,4.52,4.52,7500.0,23.209,49.406,09h 36m 49.6s,-49° 21′ 19″,0.55,0.65,0.52,4.5919236203639824e-07,7.67868817820417e-07,6.28514847178934e-07,False,209.00074747084838,1.5384615384615383
,,0.013,125.0,6.38,4.53,5.43,20000.0,20.79,36.491,04h 04m 41.7s,+22° 04′ 55″,1.35,0.21,1.39,9.332428163530372e-08,7.608289541835118e-07,2.718413644157433e-07,False,646.9070755050069,4.761904761904762
π² Orionis,,0.036,33.333,4.37,4.54,4.37,9500.0,0.526,-61.034,04h 50m 36.7s,+08° 54′ 01″,0.5,0.44,0.46,5.942848453731007e-07,7.538536324043831e-07,7.216315979530508e-07,False,308.7511042182987,2.272727272727273
κ Leporis,,0.034,28.571,3.89,4.54,4.26,9250.0,2.033,70.907,05h 13m 13.9s,-12° 56′ 29″,0.42,0.46,0.36,9.24686794784281e-07,7.538536324043831e-07,7.985746895646558e-07,False,295.3271431653292,2.1739130434782608
ρ Hydrae,,0.014,40.0,4.28,4.54,4.32,10000.0,6.584,-21.035,08h 48m 26.0s,+05° 50′ 16″,0.49,0.41,0.46,6.456462837406443e-07,7.538536324043831e-07,7.556410473922279e-07,False,331.34264842939376,2.4390243902439024
χ Centauri,,,100.0,3.4,4.54,4.17,8000.0,14.225,51.79,14h 06m 02.8s,-41° 10′ 47″,0.22,0.58,0.18,1.4520937481876525e-06,7.538536324043831e-07,8.675920051150886e-07,False,234.22497561388178,1.7241379310344829
δ Ursae Minoris,Yildun,0.004,33.333,4.41,4.54,4.38,10000.0,15.204,-18.208,17h 32m 12.9s,+86° 35′ 11″,0.49,0.41,0.46,5.727889822704803e-07,7.538536324043831e-07,7.150156396959007e-07,False,331.34264842939376,2.4390243902439024
ξ Pavonis,,0.016,71.429,7.39,4.54,5.84,24000.0,15.598,-43.041,18h 23m 13.6s,-61° 29′ 38″,1.45,0.19,1.79,3.681244435197537e-08,7.538536324043831e-07,1.8634405476982044e-07,False,715.0025571371128,5.2631578947368425
ε Andromedae,,0.031,200.0,5.71,4.55,5.24,8750.0,16.344,-23.831,00h 38m 33.3s,+29° 18′ 42″,1.37,0.5,1.19,1.7297950724350587e-07,7.469422607597101e-07,3.238288528115118e-07,False,271.70097171210284,2.0
